Setup,Side,horizon,n,avg,median,pos_rate,tgt_hit10,stp_hit10
ContLong,long,5,249,0.012603085387872262,0.00796845403685476,0.5622489959839357,0.028112449799196786,0.8232931726907631
ContLong,long,10,236,0.01993968915589953,0.013415355113495484,0.5635593220338984,0.028112449799196786,0.8232931726907631
ContLong,long,15,224,0.030445006271809745,0.021867144949167597,0.6160714285714286,0.028112449799196786,0.8232931726907631
ContShort,short,5,196,-0.004029744927006161,0.005444079056228257,0.5459183673469388,0.04854368932038835,0.8786407766990292
ContShort,short,10,178,0.0007898199127585248,0.018857945713810813,0.5617977528089888,0.04854368932038835,0.8786407766990292
ContShort,short,15,162,0.009656408169727784,0.016853055497833128,0.5617283950617284,0.04854368932038835,0.8786407766990292
ReversalLong,long,5,128,-0.02597653781510188,-0.022748738271905995,0.328125,0.6724137931034483,0.3620689655172414
ReversalLong,long,10,106,-0.039197758922383946,-0.026132589156650086,0.4056603773584906,0.6724137931034483,0.3620689655172414
ReversalLong,long,15,98,-0.042801922032174124,-0.024398157848276543,0.42857142857142855,0.6724137931034483,0.3620689655172414
ReversalShort,short,5,39,-0.004643717050167462,-0.0025365250667616205,0.38461538461538464,0.25,0.275
ReversalShort,short,10,36,-0.08734299438849163,-0.01971298116671963,0.2222222222222222,0.25,0.275
ReversalShort,short,15,34,-0.11352555376968458,-0.047311106332861286,0.20588235294117646,0.25,0.275
