Setup,Side,horizon,n,avg,median,pos_rate,tgt_hit10,stp_hit10
ContLong,long,5,312,0.05157295298200292,0.01451034407686716,0.6153846153846154,0.07621951219512195,0.8597560975609756
ContLong,long,10,277,0.0817686927775046,0.037016255379309464,0.631768953068592,0.07621951219512195,0.8597560975609756
ContLong,long,15,247,0.09779003450896036,0.05301964711908213,0.6032388663967612,0.07621951219512195,0.8597560975609756
ContShort,short,5,197,-0.01636752659074792,-0.00674382899728988,0.43147208121827413,0.04950495049504951,0.8415841584158416
ContShort,short,10,190,-0.04206333167387797,-0.015029549415601463,0.4263157894736842,0.04950495049504951,0.8415841584158416
ContShort,short,15,182,-0.05093478158820115,-0.02097714594906326,0.41208791208791207,0.04950495049504951,0.8415841584158416
ReversalLong,long,5,40,0.0019435419652858508,0.01034063546643615,0.55,0.6071428571428571,0.17857142857142858
ReversalLong,long,10,34,0.008913171985955466,0.017044868082874073,0.6470588235294118,0.6071428571428571,0.17857142857142858
ReversalLong,long,15,32,0.016117451400407434,0.01294983069996015,0.71875,0.6071428571428571,0.17857142857142858
ReversalShort,short,5,60,-0.023223882008406364,-0.021557448768464472,0.2833333333333333,0.4393939393939394,0.36363636363636365
ReversalShort,short,10,57,-0.057668018480735786,-0.038143894007166175,0.2631578947368421,0.4393939393939394,0.36363636363636365
ReversalShort,short,15,54,-0.06800482064626868,-0.054626914916076824,0.24074074074074073,0.4393939393939394,0.36363636363636365
