Ticker,RSI14,Side,Close,AsOf,ATR20,MA50,MA200
ACI,28.36,long,17.9,2025-09-20,0.33,19.54,20.62
AMTM,29.64,long,22.35,2025-09-20,0.69,24.59,21.9
BSX,27.06,long,97.83,2025-09-20,1.94,104.37,100.75
BXSL,28.18,long,27.71,2025-09-20,0.45,30.32,31.4
CAKE,25.55,long,54.58,2025-09-20,1.38,61.73,54.7
CMCSA,29.99,long,31.59,2025-09-20,0.68,33.47,35.33
DRI,19.12,long,184.73,2025-09-20,4.27,206.37,199.83
DV,26.23,long,12.74,2025-09-20,0.56,15.14,16.24
DXCM,26.81,long,67.45,2025-09-20,2.98,80.06,80.0
EAT,27.58,long,136.35,2025-09-20,6.18,156.4,153.77
EW,26.47,long,74.41,2025-09-20,1.5,78.62,74.67
FLO,24.57,long,13.1,2025-09-20,0.39,15.36,17.71
FSK,16.55,long,15.86,2025-09-20,0.34,19.13,20.81
HESM,21.56,long,35.36,2025-09-20,0.84,40.55,39.35
K,28.8,long,77.38,2025-09-20,0.51,79.67,81.14
KDP,26.75,long,27.11,2025-09-20,0.88,31.77,32.79
PPC,26.17,long,40.69,2025-09-20,1.12,45.99,48.41
PRMB,27.88,long,22.48,2025-09-20,0.58,25.78,30.43
SFM,20.66,long,120.41,2025-09-20,3.55,147.81,152.73
SLGN,27.44,long,42.8,2025-09-20,0.79,48.11,51.79
SPGI,28.65,long,507.16,2025-09-20,9.15,542.53,515.28
STZ,20.24,long,132.92,2025-09-20,4.12,161.01,180.76
TAP,29.18,long,46.57,2025-09-20,1.02,49.99,54.86
TTD,27.35,long,44.47,2025-09-20,1.93,64.14,79.24
TW,23.3,long,112.08,2025-09-20,2.77,129.74,134.28
TXRH,22.8,long,158.24,2025-09-20,3.25,176.45,179.13
VICI,29.86,long,31.84,2025-09-20,0.41,33.06,31.72
VRSK,24.75,long,243.47,2025-09-20,4.85,274.21,289.3
ABBV,72.76,short,222.47,2025-09-20,3.5,202.82,191.81
ACMR,74.4,short,35.89,2025-09-20,1.84,28.71,23.6
AL,70.87,short,63.61,2025-09-20,0.64,59.34,52.28
ALAB,74.41,short,245.2,2025-09-20,12.75,168.23,110.83
ALLY,76.62,short,44.21,2025-09-20,0.88,39.86,37.06
AMAT,71.01,short,190.1,2025-09-20,4.26,177.04,168.39
AMKR,71.02,short,28.31,2025-09-20,0.88,23.66,21.94
APH,75.14,short,123.94,2025-09-20,2.8,109.46,84.23
APLD,76.67,short,20.48,2025-09-20,1.17,14.34,9.52
APP,86.73,short,649.59,2025-09-20,25.13,448.65,364.05
ARWR,70.98,short,30.69,2025-09-20,1.54,21.1,18.06
BAC,71.65,short,52.25,2025-09-20,0.84,48.47,44.96
BE,87.7,short,84.93,2025-09-20,4.51,45.4,27.97
BTU,79.82,short,22.72,2025-09-20,0.86,17.31,16.02
BX,70.05,short,187.62,2025-09-20,4.28,172.5,158.91
C,73.25,short,102.68,2025-09-20,1.84,94.94,79.5
CAT,75.32,short,466.54,2025-09-20,9.17,424.95,370.16
CDE,80.02,short,17.42,2025-09-20,0.7,11.85,8.05
CENX,80.24,short,27.57,2025-09-20,1.0,22.54,19.48
CGNX,70.63,short,46.48,2025-09-20,1.0,40.78,34.7
CHRW,76.82,short,136.07,2025-09-20,2.66,117.73,103.46
CIEN,83.37,short,138.37,2025-09-20,5.28,99.48,82.15
CIFR,78.21,short,12.28,2025-09-20,0.98,7.02,4.97
CLSK,80.24,short,13.62,2025-09-20,0.68,10.79,9.99
CRWD,76.7,short,502.55,2025-09-20,16.06,444.04,415.09
ETNB,81.38,short,14.87,2025-09-20,0.76,9.55,8.78
FTAI,81.13,short,178.89,2025-09-20,5.46,142.17,124.4
GE,73.98,short,301.14,2025-09-20,6.29,273.22,221.93
